date,store_id,product_id,product_name,category,price,promotion,temperature,rainfall_mm,special_event,stock_available,units_sold,weather_source
2025-01-01,T001,P001,Leche entera,Lacteos,1.25,0,7.9,0.0,1,51,70,real
2025-01-01,T001,P002,Yogur natural,Lacteos,1.1,0,7.9,0.0,1,71,52,real
2025-01-01,T001,P003,Queso fresco,Lacteos,2.6,0,7.9,0.0,1,30,39,real
2025-01-01,T001,P004,Pan de molde,Panaderia,1.4,1,7.9,0.0,1,85,105,real
2025-01-01,T001,P005,Bolleria,Panaderia,1.62,1,7.9,0.0,1,48,52,real
2025-01-01,T001,P006,Manzanas,Fruta,2.2,0,7.9,0.0,1,50,53,real
2025-01-01,T001,P007,Platanos,Fruta,1.95,0,7.9,0.0,1,44,68,real
2025-01-01,T001,P008,Ensalada preparada,Fresco,2.75,0,7.9,0.0,1,33,35,real
2025-01-01,T001,P009,Agua mineral,Bebidas,0.7,0,7.9,0.0,1,72,67,real
2025-01-01,T001,P010,Refresco cola,Bebidas,1.08,1,7.9,0.0,1,113,84,real
2025-01-01,T001,P011,Cafe molido,Despensa,3.4,0,7.9,0.0,1,40,29,real
2025-01-01,T001,P012,Arroz,Despensa,1.35,0,7.9,0.0,1,55,50,real
2025-01-01,T001,P013,Pasta,Despensa,1.15,0,7.9,0.0,1,62,51,real
2025-01-01,T001,P014,Helado,Congelado,2.9,0,7.9,0.0,1,8,8,real
2025-01-01,T001,P015,Pizza congelada,Congelado,3.1,0,7.9,0.0,1,29,30,real
2025-01-01,T002,P001,Leche entera,Lacteos,1.12,1,7.9,0.0,1,73,70,real
2025-01-01,T002,P002,Yogur natural,Lacteos,1.1,0,7.9,0.0,1,49,42,real
2025-01-01,T002,P003,Queso fresco,Lacteos,2.6,0,7.9,0.0,1,48,33,real
2025-01-01,T002,P004,Pan de molde,Panaderia,1.55,0,7.9,0.0,1,55,57,real
2025-01-01,T002,P005,Bolleria,Panaderia,1.62,1,7.9,0.0,1,49,40,real
2025-01-01,T002,P006,Manzanas,Fruta,2.2,0,7.9,0.0,1,57,55,real
2025-01-01,T002,P007,Platanos,Fruta,1.95,0,7.9,0.0,1,71,50,real
2025-01-01,T002,P008,Ensalada preparada,Fresco,2.48,1,7.9,0.0,1,36,36,real
2025-01-01,T002,P009,Agua mineral,Bebidas,0.7,0,7.9,0.0,1,93,53,real
2025-01-01,T002,P010,Refresco cola,Bebidas,1.2,0,7.9,0.0,1,69,51,real
2025-01-01,T002,P011,Cafe molido,Despensa,3.4,0,7.9,0.0,1,29,27,real
2025-01-01,T002,P012,Arroz,Despensa,1.35,0,7.9,0.0,1,55,41,real
2025-01-01,T002,P013,Pasta,Despensa,1.15,0,7.9,0.0,1,64,45,real
2025-01-01,T002,P014,Helado,Congelado,2.9,0,7.9,0.0,1,37,23,real
2025-01-01,T002,P015,Pizza congelada,Congelado,2.79,1,7.9,0.0,1,32,39,real
2025-01-01,T003,P001,Leche entera,Lacteos,1.25,0,7.9,0.0,1,103,70,real
2025-01-01,T003,P002,Yogur natural,Lacteos,0.99,1,7.9,0.0,1,81,91,real
2025-01-01,T003,P003,Queso fresco,Lacteos,2.6,0,7.9,0.0,1,62,41,real
2025-01-01,T003,P004,Pan de molde,Panaderia,1.4,1,7.9,0.0,1,136,92,real
2025-01-01,T003,P005,Bolleria,Panaderia,1.8,0,7.9,0.0,1,45,51,real
2025-01-01,T003,P006,Manzanas,Fruta,1.98,1,7.9,0.0,1,86,69,real
2025-01-01,T003,P007,Platanos,Fruta,1.95,0,7.9,0.0,1,96,68,real
2025-01-01,T003,P008,Ensalada preparada,Fresco,2.75,0,7.9,0.0,1,32,29,real
2025-01-01,T003,P009,Agua mineral,Bebidas,0.7,0,7.9,0.0,1,78,69,real
2025-01-01,T003,P010,Refresco cola,Bebidas,1.2,0,7.9,0.0,1,61,71,real
2025-01-01,T003,P011,Cafe molido,Despensa,3.4,0,7.9,0.0,1,46,36,real
2025-01-01,T003,P012,Arroz,Despensa,1.22,1,7.9,0.0,1,47,47,real
2025-01-01,T003,P013,Pasta,Despensa,1.15,0,7.9,0.0,1,79,55,real
2025-01-01,T003,P014,Helado,Congelado,2.61,1,7.9,0.0,1,57,38,real
2025-01-01,T003,P015,Pizza congelada,Congelado,2.79,1,7.9,0.0,1,59,44,real
2025-01-01,T004,P001,Leche entera,Lacteos,1.25,0,7.9,0.0,1,73,50,real
2025-01-01,T004,P002,Yogur natural,Lacteos,1.1,0,7.9,0.0,1,51,41,real
2025-01-01,T004,P003,Queso fresco,Lacteos,2.6,0,7.9,0.0,1,32,32,real
2025-01-01,T004,P004,Pan de molde,Panaderia,1.55,0,7.9,0.0,1,77,60,real
2025-01-01,T004,P005,Bolleria,Panaderia,1.8,0,7.9,0.0,1,52,28,real
2025-01-01,T004,P006,Manzanas,Fruta,2.2,0,7.9,0.0,1,51,45,real
2025-01-01,T004,P007,Platanos,Fruta,1.95,0,7.9,0.0,1,49,46,real
2025-01-01,T004,P008,Ensalada preparada,Fresco,2.75,0,7.9,0.0,1,24,24,real
2025-01-01,T004,P009,Agua mineral,Bebidas,0.7,0,7.9,0.0,1,53,61,real
2025-01-01,T004,P010,Refresco cola,Bebidas,1.2,0,7.9,0.0,1,41,55,real
2025-01-01,T004,P011,Cafe molido,Despensa,3.4,0,7.9,0.0,1,22,26,real
2025-01-01,T004,P012,Arroz,Despensa,1.35,0,7.9,0.0,1,51,39,real
2025-01-01,T004,P013,Pasta,Despensa,1.15,0,7.9,0.0,1,56,39,real
2025-01-01,T004,P014,Helado,Congelado,2.61,1,7.9,0.0,1,31,29,real
2025-01-01,T004,P015,Pizza congelada,Congelado,3.1,0,7.9,0.0,1,39,32,real
2025-01-01,T005,P001,Leche entera,Lacteos,1.25,0,7.9,0.0,1,52,60,real
2025-01-01,T005,P002,Yogur natural,Lacteos,1.1,0,7.9,0.0,1,73,50,real
2025-01-01,T005,P003,Queso fresco,Lacteos,2.6,0,7.9,0.0,1,38,31,real
2025-01-01,T005,P004,Pan de molde,Panaderia,1.55,0,7.9,0.0,1,65,60,real
2025-01-01,T005,P005,Bolleria,Panaderia,1.8,0,7.9,0.0,1,57,43,real
2025-01-01,T005,P006,Manzanas,Fruta,1.98,1,7.9,0.0,1,103,75,real
2025-01-01,T005,P007,Platanos,Fruta,1.95,0,7.9,0.0,1,84,56,real
2025-01-01,T005,P008,Ensalada preparada,Fresco,2.48,1,7.9,0.0,1,45,43,real
2025-01-01,T005,P009,Agua mineral,Bebidas,0.7,0,7.9,0.0,1,54,70,real
2025-01-01,T005,P010,Refresco cola,Bebidas,1.2,0,7.9,0.0,1,57,55,real
2025-01-01,T005,P011,Cafe molido,Despensa,3.4,0,7.9,0.0,1,31,30,real
2025-01-01,T005,P012,Arroz,Despensa,1.35,0,7.9,0.0,1,60,58,real
2025-01-01,T005,P013,Pasta,Despensa,1.03,1,7.9,0.0,1,60,61,real
2025-01-01,T005,P014,Helado,Congelado,2.9,0,7.9,0.0,1,31,30,real
2025-01-01,T005,P015,Pizza congelada,Congelado,2.79,1,7.9,0.0,1,53,32,real
2025-01-02,T001,P001,Leche entera,Lacteos,1.25,0,8.6,0.0,0,50,61,real
2025-01-02,T001,P002,Yogur natural,Lacteos,0.99,1,8.6,0.0,0,52,59,real
2025-01-02,T001,P003,Queso fresco,Lacteos,2.6,0,8.6,0.0,0,29,30,real
2025-01-02,T001,P004,Pan de molde,Panaderia,1.55,0,8.6,0.0,0,58,61,real
